average,unit,maximum,timestamp
1.0495,Percent,2,7/12/17 5:32
1.047166667,Percent,1.8,7/12/17 6:32
1.029833333,Percent,1.97,7/12/17 7:32
1.0495,Percent,2.03,7/12/17 8:32
1.039166667,Percent,1.97,7/12/17 9:32
1.0405,Percent,2.13,7/12/17 10:32
1.047,Percent,1.97,7/12/17 11:32
1.033333333,Percent,2,7/12/17 12:32
1.0445,Percent,2,7/12/17 13:32
1.035166667,Percent,1.97,7/12/17 14:32
1.049833333,Percent,2.03,7/12/17 15:32
1.051833333,Percent,2,7/12/17 16:32
1.039166667,Percent,2,7/12/17 17:32
1.038666667,Percent,2,7/12/17 18:32
1.040333333,Percent,2.13,7/12/17 19:32
1.046666667,Percent,2,7/12/17 20:32
1.050333333,Percent,2.03,7/12/17 21:32
1.038166667,Percent,1.97,7/12/17 22:32
1.069333333,Percent,2.83,7/12/17 23:32
1.039166667,Percent,2,7/13/17 0:32
1.044,Percent,2.2,7/13/17 1:32
1.027333333,Percent,1.5,7/13/17 2:32